epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8862,1.08262,1.85389,0.99043,0.91218,0.35662,0.66462,0.42121,1.18301,2.43914,1.01386,0.000648148,0.000648148,0.000648148
2,142.865,1.0021,1.03855,0.95319,0.66308,0.45494,0.4948,0.31641,1.21112,2.17596,1.10557,0.00128878,0.00128878,0.00128878
3,210.472,1.0037,0.93335,0.94008,0.79123,0.58369,0.69312,0.45802,1.14591,1.68558,1.1121,0.00190301,0.00190301,0.00190301
4,276,0.92581,0.88564,0.92889,0.7722,0.53219,0.65731,0.46244,1.10592,1.66464,1.07215,0.0018812,0.0018812,0.0018812
5,341.309,0.84839,0.81979,0.91604,0.78865,0.61803,0.72511,0.52922,1.03947,1.49187,1.03962,0.0018416,0.0018416,0.0018416
6,409.76,0.85436,0.8087,0.91483,0.68035,0.62232,0.69928,0.50483,0.97253,2.04723,0.98886,0.001802,0.001802,0.001802
7,481.293,0.87379,0.79253,0.91622,0.72144,0.68918,0.74284,0.52057,1.05597,1.5936,1.01787,0.0017624,0.0017624,0.0017624
8,546.729,0.87241,0.79667,0.92616,0.74639,0.59227,0.70232,0.51208,1.0738,1.44586,1.0929,0.0017228,0.0017228,0.0017228
9,612.948,0.8227,0.73864,0.90603,0.89757,0.52652,0.70921,0.51727,1.05947,1.47982,1.03264,0.0016832,0.0016832,0.0016832
10,681.987,0.79441,0.72326,0.89806,0.7748,0.57588,0.70105,0.50924,0.99162,1.43605,0.9945,0.0016436,0.0016436,0.0016436
11,746.84,0.80268,0.72534,0.89831,0.86044,0.57511,0.71725,0.52368,1.02811,1.47314,1.027,0.001604,0.001604,0.001604
12,811.169,0.79342,0.70803,0.89085,0.78509,0.60515,0.72098,0.52267,1.00018,1.38605,1.01805,0.0015644,0.0015644,0.0015644
13,877.559,0.77322,0.6834,0.88642,0.81507,0.58798,0.72376,0.51068,1.01656,1.36943,1.04487,0.0015248,0.0015248,0.0015248
14,944.273,0.74636,0.64577,0.88223,0.79754,0.62555,0.72002,0.53435,0.98637,1.31944,0.99379,0.0014852,0.0014852,0.0014852
15,1010.05,0.75523,0.66328,0.89526,0.84446,0.62915,0.75021,0.55982,0.95947,1.20434,0.99039,0.0014456,0.0014456,0.0014456
16,1073.84,0.75492,0.64944,0.88537,0.86456,0.66953,0.7813,0.5555,1.03386,1.21228,1.00908,0.001406,0.001406,0.001406
17,1137.41,0.74086,0.61991,0.88109,0.80502,0.60248,0.73797,0.53897,0.99105,1.24186,1.00299,0.0013664,0.0013664,0.0013664
18,1201.66,0.73614,0.62093,0.88004,0.78356,0.62151,0.7595,0.55701,0.99692,1.14966,1.01697,0.0013268,0.0013268,0.0013268
19,1265.83,0.74548,0.61443,0.88081,0.85583,0.66953,0.78212,0.55607,1.026,1.10786,1.03792,0.0012872,0.0012872,0.0012872
20,1329.5,0.7407,0.61801,0.87702,0.89541,0.60944,0.74148,0.53987,0.93597,1.16627,0.99856,0.0012476,0.0012476,0.0012476
21,1394.34,0.72506,0.60355,0.88122,0.78757,0.63948,0.72174,0.53074,0.98916,1.16959,1.02026,0.001208,0.001208,0.001208
22,1458.51,0.68347,0.57341,0.8734,0.8279,0.6194,0.74052,0.54673,0.95532,1.2159,1.01857,0.0011684,0.0011684,0.0011684
23,1521.36,0.69991,0.57715,0.87363,0.90293,0.59227,0.77277,0.57897,0.9378,1.09726,0.99202,0.0011288,0.0011288,0.0011288
24,1584.71,0.70866,0.59839,0.87889,0.79277,0.69957,0.78261,0.57921,0.92188,1.12675,0.9683,0.0010892,0.0010892,0.0010892
25,1647.39,0.70009,0.58104,0.87033,0.83377,0.6824,0.79419,0.59015,0.90709,1.04344,0.96975,0.0010496,0.0010496,0.0010496
26,1711.07,0.66925,0.55997,0.87257,0.84823,0.66953,0.78953,0.58206,0.91611,0.97785,0.9788,0.00101,0.00101,0.00101
27,1775.09,0.67474,0.54911,0.86551,0.85496,0.6325,0.76179,0.56627,0.91306,1.05425,0.9767,0.0009704,0.0009704,0.0009704
28,1838.89,0.66382,0.53916,0.86275,0.85205,0.62661,0.78598,0.57154,0.92402,1.08074,0.97224,0.0009308,0.0009308,0.0009308
29,1903.84,0.68101,0.53848,0.86177,0.79852,0.66524,0.77762,0.57694,0.91656,1.05823,0.97987,0.0008912,0.0008912,0.0008912
30,1967.2,0.64926,0.52893,0.86406,0.85026,0.658,0.77243,0.55902,0.94861,1.00112,0.99207,0.0008516,0.0008516,0.0008516
31,2028.92,0.64507,0.51864,0.86331,0.83497,0.61803,0.73307,0.54278,0.93947,1.06507,0.99671,0.000812,0.000812,0.000812
32,2091.96,0.65109,0.52715,0.86354,0.86852,0.6309,0.7606,0.56241,0.95828,1.06882,1.0063,0.0007724,0.0007724,0.0007724
33,2154.92,0.64837,0.52212,0.85896,0.88589,0.66638,0.8063,0.58875,0.97031,0.98742,1.02865,0.0007328,0.0007328,0.0007328
34,2218.03,0.64,0.5058,0.85614,0.82836,0.66282,0.76936,0.56812,0.93662,1.06054,0.9984,0.0006932,0.0006932,0.0006932
35,2281.14,0.63996,0.5125,0.85367,0.86436,0.67811,0.79506,0.57347,0.92214,0.93152,0.97387,0.0006536,0.0006536,0.0006536
36,2344.42,0.64434,0.51409,0.85644,0.88529,0.64807,0.78251,0.57436,0.94101,0.95665,0.99342,0.000614,0.000614,0.000614
37,2408.92,0.61841,0.50891,0.85395,0.88805,0.66094,0.79271,0.58794,0.92902,0.92353,0.98326,0.0005744,0.0005744,0.0005744
38,2472.25,0.62958,0.49811,0.85525,0.84585,0.66094,0.76506,0.55487,0.92848,1.00442,0.99443,0.0005348,0.0005348,0.0005348
39,2536.58,0.62478,0.49543,0.8576,0.83869,0.66524,0.76362,0.54821,0.93145,0.97867,0.98206,0.0004952,0.0004952,0.0004952
40,2600.07,0.61937,0.48574,0.85078,0.85465,0.68136,0.78251,0.5761,0.91427,0.92089,0.97671,0.0004556,0.0004556,0.0004556
41,2661.1,0.60905,0.51322,0.84752,0.87207,0.69099,0.81293,0.58752,0.9568,0.96622,0.99296,0.000416,0.000416,0.000416
42,2724.53,0.58057,0.50663,0.84299,0.87282,0.7069,0.8101,0.5872,0.98087,0.99916,0.99259,0.0003764,0.0003764,0.0003764
43,2787.5,0.56814,0.47466,0.83888,0.87989,0.66029,0.80416,0.5884,0.9244,0.95294,0.97163,0.0003368,0.0003368,0.0003368
44,2849.62,0.56195,0.46676,0.83592,0.90839,0.64378,0.7955,0.57447,0.90671,0.96727,0.96391,0.0002972,0.0002972,0.0002972
45,2912.61,0.55705,0.46574,0.83687,0.87629,0.6688,0.79917,0.58442,0.89725,0.97363,0.96687,0.0002576,0.0002576,0.0002576
46,2971.67,0.56264,0.46543,0.83995,0.86734,0.67811,0.79023,0.57213,0.90501,1.03008,0.97158,0.000218,0.000218,0.000218
47,3028.93,0.54711,0.44969,0.83602,0.87945,0.6824,0.80112,0.57893,0.90233,1.0259,0.96453,0.0001784,0.0001784,0.0001784
48,3086.05,0.54449,0.44931,0.8328,0.85163,0.69528,0.80193,0.58253,0.8819,0.98677,0.95593,0.0001388,0.0001388,0.0001388
49,3143.18,0.55382,0.45159,0.83789,0.86859,0.68086,0.79845,0.5813,0.8849,0.97197,0.95676,9.92e-05,9.92e-05,9.92e-05
50,3200.72,0.53554,0.43775,0.83753,0.87188,0.67178,0.80094,0.58429,0.88703,0.9425,0.96338,5.96e-05,5.96e-05,5.96e-05
